MIC 1,MIC 2,MIC 3,MIC 4,MIC 5,MIC 6,MIC 7,MIC 8,consistencia,inconsistent MIC
1.0,0.5,2.0,0.5,0.5,,,,False,0.0
2.0,0.5,2.0,4.0,2.0,,,,False,0.0
,,,,,,,,True,
,,,,,,,,True,
0.5,0.5,1.0,,,,,,True,0.0
1.0,1.0,1.0,,,,,,True,0.0
,,,,,,,,True,
1.0,0.5,0.5,,,,,,True,0.0
0.5,0.25,2.0,1.0,8.0,2.0,2.0,1.0,False,1.0
1.0,0.5,1.0,,,,,,True,0.0
,,,,,,,,True,
1.0,0.5,1.0,,,,,,True,0.0
0.5,0.5,2.0,0.25,,,,,False,0.0
1.0,1.0,1.0,,,,,,True,0.0
1.0,0.5,2.0,16.0,8.0,4.0,2.0,,False,1.0
0.125,0.125,,0.25,,,,,True,0.0
0.25,0.125,1.0,0.25,0.25,,,,False,0.0
0.5,0.25,0.25,,,,,,True,0.0
,,,,,,,,True,
0.125,0.25,1.0,0.125,0.125,,,,False,0.0
0.5,0.25,1.0,0.25,1.0,0.5,,,False,0.0
0.5,0.25,0.5,,,,,,True,0.0
,,,,,,,,True,
1.0,2.0,0.5,4.0,0.5,1.0,,,False,1.0
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
1.0,1.0,1.0,,,,,,True,0.0
0.125,0.5,1.0,0.5,0.125,0.125,,,False,1.0
,,,,,,,,True,
0.5,0.5,0.25,,,,,,True,0.0
1.0,4.0,1.0,4.0,1.0,,,,False,1.0
0.5,0.25,0.25,,,,,,True,0.0
0.5,0.5,1.0,,,,,,True,0.0
2.0,4.0,1.0,8.0,1.0,1.0,,,False,1.0
0.5,0.5,0.5,,,,,,True,0.0
0.5,0.5,2.0,0.5,0.5,,,,False,0.0
1.0,0.5,2.0,4.0,2.0,2.0,,,False,1.0
1.0,0.5,1.0,,,,,,True,0.0
0.5,0.25,0.5,,,,,,True,0.0
0.125,0.25,0.25,,,,,,True,0.0
0.5,0.25,1.0,4.0,4.0,,,,False,1.0
,,,,,,,,True,
0.125,0.125,0.25,,,,,,True,0.0
0.25,0.25,0.25,,,,,,True,0.0
,,,,,,,,True,
,,,,,,,,True,
1.0,0.25,1.0,0.5,0.5,,,,False,0.0
1.0,4.0,1.0,2.0,1.0,,,,False,1.0
1.0,0.5,1.0,,,,,,True,0.0
,,,,,,,,True,
0.5,0.25,1.0,0.5,0.5,,,,False,0.0
,,,,,,,,True,
,,,,,,,,True,
0.5,0.25,1.0,2.0,1.0,0.25,,,False,1.0
1.0,1.0,0.5,,,,,,True,0.0
1.0,0.25,0.25,0.5,0.5,,,,False,0.0
1.0,0.5,0.25,0.5,0.5,,,,False,0.0
,,,,,,,,True,
4.0,1.0,0.5,4.0,1.0,1.0,,,False,1.0
1.0,0.5,0.25,1.0,0.25,,,,False,0.0
0.5,0.25,0.5,,,,,,True,0.0
1.0,0.5,0.5,,,,,,True,0.0
0.5,1.0,1.0,,,,,,True,0.0
,,,,,,,,True,
0.5,1.0,0.5,,,,,,True,0.0
,,,,,,,,True,
,,,,,,,,True,
0.5,1.0,2.0,0.5,2.0,0.5,,,False,1.0
4.0,4.0,8.0,4.0,,,,,True,0.0
2.0,0.5,0.5,0.5,,,,,False,0.0
1.0,1.0,0.5,,,,,,True,0.0
0.5,0.5,4.0,0.5,,,,,False,0.0
0.5,0.5,1.0,,,,,,True,0.0
0.5,0.5,0.5,,,,,,True,0.0
0.5,0.5,8.0,,,,,,False,1.0
0.5,0.5,0.5,,,,,,True,0.0
2.0,0.5,8.0,4.0,2.0,16.0,2.0,2.0,False,1.0
0.5,0.5,8.0,0.5,0.5,,,,False,0.0
0.25,0.25,0.5,0.125,0.25,,,,False,0.0
0.25,0.125,0.125,,,,,,True,0.0
,,,,,,,,True,
0.5,0.5,0.25,,,,,,True,0.0
0.5,0.5,0.25,,,,,,True,0.0
1.0,0.5,0.25,8.0,0.5,1.0,0.5,,False,1.0
,,,,,,,,True,
8.0,0.5,0.25,4.0,2.0,1.0,8.0,,False,1.0
0.25,0.5,0.25,,,,,,True,0.0
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
0.5,0.5,0.5,,,,,,True,0.0
,,,,,,,,True,
1.0,0.25,1.0,1.0,1.0,,,,False,0.0
2.0,2.0,2.0,,,,,,True,0.0
2.0,0.5,0.5,0.5,,,,,False,0.0
1.0,0.5,0.5,,,,,,True,0.0
,,,,,,,,True,
2.0,2.0,16.0,1.0,2.0,,,,False,1.0
,,,,,,,,True,
1.0,0.25,4.0,1.0,1.0,,,,False,1.0
0.5,0.5,0.5,,,,,,True,0.0
0.5,1.0,1.0,,,,,,True,0.0
0.5,1.0,0.5,,,,,,True,0.0
,,,,,,,,True,
2.0,1.0,2.0,,,,,,True,0.0
0.25,0.25,0.25,,,,,,True,0.0
4.0,1.0,0.125,4.0,4.0,4.0,,,False,0.0
0.25,0.25,0.25,,,,,,True,0.0
,,,,,,,,True,
,,,,,,,,True,
0.25,0.25,0.25,,,,,,True,0.0
1.0,1.0,0.25,1.0,,,,,False,0.0
1.0,1.0,1.0,,,,,,True,0.0
,,,,,,,,True,
0.5,0.25,0.25,,,,,,True,0.0
1.0,0.5,8.0,1.0,,,,,False,1.0
0.25,0.125,0.25,,,,,,True,0.0
0.5,0.5,0.5,,,,,,True,0.0
,,,,,,,,True,
,,,,,,,,True,
1.0,1.0,1.0,2.0,,,,,True,0.0
0.5,2.0,0.5,4.0,0.5,,,,False,1.0
1.0,1.0,1.0,,,,,,True,0.0
1.0,1.0,1.0,,,,,,True,0.0
8.0,0.5,1.0,2.0,1.0,,,,False,1.0
8.0,1.0,2.0,4.0,2.0,1.0,,,False,1.0
,,,,,,,,True,
1.0,0.5,0.5,,,,,,True,0.0
1.0,1.0,1.0,,,,,,True,0.0
2.0,1.0,1.0,,,,,,True,0.0
2.0,1.0,1.0,,,,,,True,0.0
2.0,1.0,2.0,,,,,,True,0.0
4.0,1.0,1.0,2.0,1.0,2.0,,,False,0.0
2.0,2.0,2.0,,,,,,True,0.0
2.0,2.0,1.0,,,,,,True,0.0
2.0,2.0,2.0,,,,,,True,0.0
0.25,0.25,0.25,,,,,,True,0.0
1.0,1.0,1.0,,,,,,True,0.0
2.0,2.0,4.0,,,,,,True,0.0
1.0,0.5,0.5,,,,,,True,0.0
1.0,1.0,1.0,,,,,,True,0.0
1.0,0.5,0.5,,,,,,True,0.0
0.25,0.25,0.25,,,,,,True,0.0
1.0,4.0,1.0,0.25,1.0,1.0,,,False,0.0
1.0,1.0,2.0,,,,,,True,0.0
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
4.0,1.0,1.0,2.0,2.0,,,,False,0.0
0.25,0.5,0.25,,,,,,True,0.0
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
0.5,0.25,0.125,0.25,0.25,,,,False,0.0
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
0.5,0.25,0.25,,,,,,True,0.0
2.0,2.0,4.0,,,,,,True,0.0
0.5,0.25,0.5,,,,,,True,0.0
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
8.0,1.0,1.0,0.5,0.5,,,,False,1.0
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
2.0,4.0,4.0,,,,,,True,0.0
2.0,4.0,2.0,,,,,,True,0.0
2.0,4.0,4.0,,,,,,True,0.0
,,,,,,,,True,
4.0,4.0,4.0,,,,,,True,0.0
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
0.25,0.5,0.125,0.125,,,,,False,0.0
1.0,1.0,1.0,,,,,,True,0.0
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
2.0,2.0,4.0,,,,,,True,0.0
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
2.0,0.5,0.5,4.0,2.0,0.5,,,False,1.0
,,,,,,,,True,
0.25,0.25,0.25,,,,,,True,0.0
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
2.0,2.0,2.0,,,,,,True,0.0
0.25,0.125,0.25,,,,,,True,0.0
,,,,,,,,True,
0.125,,,,,,,,True,0.0
1.0,1.0,0.5,,,,,,True,0.0
0.5,0.5,0.5,,,,,,True,0.0
0.5,1.0,0.5,,,,,,True,0.0
1.0,8.0,1.0,0.5,,,,,False,1.0
,,,,,,,,True,
0.125,0.125,0.125,,,,,,True,0.0
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
4.0,0.5,0.5,,,,,,False,1.0
0.25,0.125,0.125,,,,,,True,0.0
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
0.5,0.5,0.5,,,,,,True,0.0
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
,,,,,,,,True,
